Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,True,45,20,141,123,150,138,38,42,4.26398965986,4.19554370043,3.75251936538,3.26748949264,15.4282364723,15.2299932916
0.1,6.0,True,45,20,153,143,155,144,41,39,3.84516643898,4.20692603806,3.53597726398,4.04464774912,14.3754137292,14.9550940123
0.1,6.0,True,45,20,187,174,181,185,41,47,4.41314038817,4.51601338371,3.58591896769,4.66040479863,15.317165307,17.4200395556
0.1,6.0,True,45,20,103,107,109,121,35,32,3.60217921152,3.19831419164,3.38458818487,6.00389154078,20.8756019064,12.61610589
0.1,6.0,True,45,20,144,152,164,162,39,40,7.55717206208,7.62133846586,5.74493827556,7.62330073201,14.0123839932,18.7065056592
0.1,6.0,True,45,20,155,131,144,149,31,52,7.31281191573,6.2474009522,5.73901101428,7.60987658549,14.7115878271,18.6762182911
0.1,6.0,True,45,20,134,146,142,142,30,39,2.63512007869,3.64659335783,4.26719782209,2.8910746309,13.6999369253,13.0360766807
0.1,6.0,True,45,20,152,150,152,178,40,42,5.22953749661,6.49400117861,5.83138077149,7.06038773793,12.9780210893,15.4815041158
0.1,6.0,True,45,20,174,181,202,204,52,40,6.25514615658,6.52723777278,6.19707592923,7.42854572618,18.3883770767,16.1010093933
0.1,6.0,True,45,20,161,140,147,144,45,38,6.11407746172,11.5066877875,6.09233117898,7.78601645223,19.8132480204,18.4431092388
0.1,6.0,True,45,20,117,140,145,128,30,36,3.98785424869,5.83871983632,3.43960206863,5.11395948605,17.3151225293,19.8480740368
0.1,6.0,True,45,20,105,108,120,106,35,33,3.74687597588,3.59603534617,4.40083279694,2.7256702059,16.1651896271,15.3572017326
0.1,6.0,True,45,20,132,127,132,142,41,28,3.42664071473,4.15964381807,4.10822061718,4.44125397605,13.0021304225,14.0208447112
0.1,6.0,True,45,20,177,152,175,191,42,42,10.3001311986,7.04772708575,4.95414667568,7.5980602646,12.0267602359,14.7748440839
0.1,6.0,True,45,20,161,180,177,171,44,45,2.15723324362,2.16005347119,1.71199622717,2.17332688367,23.5334049127,13.821694852
0.1,6.0,True,45,20,212,201,201,191,43,38,8.23102763925,5.29439520636,5.5814233439,5.06657557441,19.8751147209,12.5055660027
0.1,6.0,True,45,20,150,171,165,148,32,38,6.23716514886,6.07288110922,5.88975966837,6.69421468778,14.2419880095,14.071738538
0.1,6.0,True,45,20,150,140,141,129,44,39,3.71233122843,4.67680963209,6.28476331356,3.73758319239,14.4651391789,13.123891537
0.1,6.0,True,45,20,141,130,130,163,37,30,4.99444753267,3.95339322505,5.30009367399,6.33754009934,15.0833661771,13.4828184141
0.1,6.0,True,45,20,122,150,114,130,33,37,3.34504274008,3.84438366512,3.82423500442,3.45801704749,12.343711268,15.8514436256
0.1,6.0,True,45,20,179,181,175,202,45,46,5.19287381004,7.11778955326,5.66582396046,7.87181325918,16.7344871268,15.8745660886
0.1,6.0,True,45,20,161,202,160,187,35,45,6.69457729714,5.17433386265,5.1328994317,5.86914336091,11.6246549334,15.3582809571
0.1,6.0,True,45,20,171,157,182,155,41,50,3.24778753899,3.30584380549,2.87499835463,2.38427793529,19.5607158712,20.4561159561
0.1,6.0,True,45,20,143,186,173,182,40,50,3.00738983833,3.60026449636,5.43326125884,4.12404959874,13.4027954083,17.7513440294
0.1,6.0,True,45,20,171,198,194,170,49,46,4.76357194251,5.74100776835,4.74310312541,5.02356948283,13.2577339724,14.1634946929
0.1,6.0,True,45,20,118,126,116,119,28,40,6.83957293459,5.49373429268,7.81985906225,6.37303081325,8.98230114311,18.5723719054
0.1,6.0,True,45,20,185,156,184,155,34,54,6.72874691702,4.12032206176,5.54890909159,6.65874282072,15.3415812273,16.9224184505
0.1,6.0,True,45,20,127,127,131,151,36,40,4.52790273574,5.25950864477,6.91762671329,5.2824645627,16.1525359259,17.1681517685
0.1,6.0,True,45,20,140,131,134,105,37,37,6.66940307002,5.51356888608,5.65653475638,8.60731486891,15.3837080607,15.3764699724
0.1,6.0,True,45,20,116,150,111,132,33,34,4.10184775252,4.74760063138,3.18816924087,8.39245860013,17.4432271217,18.9632753478
0.1,6.0,True,45,20,123,110,116,142,36,33,4.95662055706,5.560788773,4.97614676734,6.6495809984,16.2149432787,13.5689702795
0.1,6.0,True,45,20,143,141,152,134,35,42,2.23662883477,2.15415022813,2.39360154936,2.07664483503,22.2226071838,16.7575465468
0.1,6.0,True,45,20,165,158,146,151,44,33,5.42833366483,5.67896929266,5.15956687572,5.70595281877,16.1753806581,12.8124473513
0.1,6.0,True,45,20,134,137,163,142,39,42,7.09140519193,7.63250448124,5.6054438718,8.76250026579,18.1997325464,18.2835996204
0.1,6.0,True,45,20,164,152,143,155,38,36,3.95528086589,4.52462389043,2.73820758164,3.10096011604,15.8510054398,14.985697996
0.1,6.0,True,45,20,136,156,165,144,41,34,4.35943638059,5.01288541145,6.21752052948,5.96581927768,14.2753105211,15.8542708842
0.1,6.0,True,45,20,157,166,170,161,44,43,4.35498841541,3.27834947094,3.81277646687,2.77972214624,18.5160093968,11.9740155178
0.1,6.0,True,45,20,150,150,134,153,46,38,6.38688126806,4.48594137673,3.47036883668,3.20911694875,18.8901581843,15.703575416
