Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,True,45,30,158,180,158,169,38,40,9.09270720342,7.8865882896,8.25721971249,7.79690010027,14.2715829464,16.2846408347
0.1,6.0,True,45,30,115,113,123,139,29,36,4.7926961152,5.5405696589,5.43256312714,4.36954661609,12.4625375458,17.0583141527
0.1,6.0,True,45,30,131,129,152,157,34,46,9.57619491214,10.0003816231,7.51134505505,8.19174882681,7.17219744523,17.5490367595
0.1,6.0,True,45,30,95,123,126,124,37,29,5.01619259248,7.66630283758,6.42068219709,6.21185424796,18.5899484116,9.37347139504
0.1,6.0,True,45,30,118,136,134,123,35,34,10.0656853563,9.82851326541,12.8964344417,7.50102121747,13.37878321,9.86809458965
0.1,6.0,True,45,30,151,136,177,138,31,41,9.12980171704,6.69160066533,9.20334993233,9.58693675524,14.2996999835,15.8994679841
0.1,6.0,True,45,30,166,138,151,142,36,41,8.10734590097,6.76959619225,6.17802496736,6.74172392736,12.6088825354,19.6431315678
0.1,6.0,True,45,30,178,158,173,158,41,46,7.63340025807,12.1950802895,9.90718316499,11.0871941279,17.1742984992,13.599311773
0.1,6.0,True,45,30,116,101,110,104,33,36,10.6093590119,15.0179561302,13.3782061953,12.5480486435,6.47637503072,11.9438590558
0.1,6.0,True,45,30,118,136,114,128,40,48,12.3895774063,8.88344938446,10.3706256475,6.44802415174,15.5131905748,15.3359438171
0.1,6.0,True,45,30,119,138,133,133,38,32,9.67682318751,7.87743416608,6.87603520905,10.269950113,13.9770778208,9.76987420358
0.1,6.0,True,45,30,131,165,145,146,41,33,11.3436839096,11.7213333899,11.1498205707,10.2123138143,18.8189744191,14.0918221459
0.1,6.0,True,45,30,124,119,115,145,42,35,6.7478869104,6.3799816865,7.45661322863,7.47035060541,13.7618171307,9.31374065393
0.1,6.0,True,45,30,123,132,98,101,26,39,6.57755750299,8.38223645757,8.23660260971,7.0196042439,10.9023922517,13.54493686
0.1,6.0,True,45,30,139,134,152,113,32,32,13.0252752327,9.88590155277,8.60911796576,10.0920039935,9.72878602474,12.6873645078
0.1,6.0,True,45,30,139,109,124,124,37,33,5.6506789493,10.5633927574,7.97795062385,7.57171077057,14.7351514719,12.9132253803
0.1,6.0,True,45,30,121,129,148,112,36,45,7.89682205767,9.02532592898,10.9092038893,7.94150918979,12.8694511336,13.2472737947
0.1,6.0,True,45,30,161,179,171,206,43,42,10.4074989874,8.99469659538,7.1812346927,11.6375416053,18.4455447624,14.3886914601
0.1,6.0,True,45,30,148,155,139,156,33,46,5.9029074745,6.20405398474,6.69485734829,11.5983219096,13.1508905298,16.8304199936
0.1,6.0,True,45,30,144,153,137,158,43,27,8.67983803731,7.09488819368,6.96248008778,6.84461067409,19.2142950544,11.6049441022
0.1,6.0,True,45,30,147,139,138,168,46,42,8.7014236582,8.81360726666,9.44984681156,9.45449742043,16.8410461649,11.8105255561
0.1,6.0,True,45,30,117,112,128,113,41,36,7.30278195038,4.84905076917,6.66252585872,5.71326159266,13.9674637223,7.71922103155
0.1,6.0,True,45,30,116,144,109,137,35,33,7.44093784236,7.33936091541,4.64938288287,8.15145407997,16.0534837298,12.0032854212
0.1,6.0,True,45,30,184,174,165,167,34,45,11.6392106814,10.5129822319,13.1943801657,12.5377636498,17.1285330528,15.2746476688
0.1,6.0,True,45,30,106,129,155,116,39,32,12.3203883982,11.4196672937,11.029814968,11.1618150701,13.7592044468,10.2472166522
0.1,6.0,True,45,30,155,154,127,153,47,37,10.7593730576,9.8059468473,6.65772503286,10.5109249523,13.2629473904,17.9860717842
0.1,6.0,True,45,30,126,127,108,104,35,34,7.57003276183,7.43870993295,7.73152093771,7.44029951162,11.4899825413,10.3025212084
0.1,6.0,True,45,30,137,124,150,154,39,41,7.35518372986,11.6110056225,10.9706168679,12.5754262614,10.5432460261,19.3136546677
0.1,6.0,True,45,30,167,156,158,163,32,37,13.8137012252,12.1085424566,8.95668512761,12.3414899815,13.7059753169,15.1386664908
0.1,6.0,True,45,30,169,159,163,123,33,28,7.20270531043,7.11962959719,9.95534394824,5.92728427251,17.6654087272,10.2396271874
0.1,6.0,True,45,30,155,188,172,179,56,32,6.61597520733,6.13218348469,7.1577051954,7.37206269182,14.759470442,14.4431077316
0.1,6.0,True,45,30,109,109,97,104,28,49,7.87508430427,7.67208118391,4.70344401932,5.26758487908,14.2830167355,12.5191384049
0.1,6.0,True,45,30,166,195,168,178,45,34,9.10070756999,11.0863824257,11.4989649905,9.43842648286,16.1258563806,12.9969671156
0.1,6.0,True,45,30,159,143,164,146,41,38,10.8954090824,8.80369178585,10.1451861313,10.5534760406,9.94035697337,13.9180696618
0.1,6.0,True,45,30,151,144,140,145,41,48,6.14997836594,6.5014844146,4.4922533039,5.43780526595,15.0197998387,15.8976538125
0.1,6.0,True,45,30,159,137,140,159,38,32,8.95485941157,11.8557153347,11.350642295,12.0145658369,22.2749291928,12.0316237641
0.1,6.0,True,45,30,159,150,142,137,35,30,11.6433990839,10.9334793288,11.819449211,10.7378423951,16.5396843372,14.4081138772
0.1,6.0,True,45,30,122,124,119,117,32,36,5.43782992962,9.80107305224,6.1580161049,11.4286854391,17.2894090566,14.5437280705
0.1,6.0,True,45,30,147,133,167,152,35,40,10.0291107189,8.47326575485,8.63461903699,9.6103328537,16.8882782395,14.4171585144
0.1,6.0,True,45,30,128,144,128,115,44,35,7.19306790884,5.91523157367,6.8716034074,7.66385204575,18.000558372,16.3059513123
0.1,6.0,True,45,30,117,123,134,97,45,25,6.03771148051,5.0790472967,5.8720588567,5.13269742317,20.4709914389,13.1474039914
