Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,True,60,20,134,143,141,116,37,36,6.155749579,6.16786360085,4.83248024914,5.85260025538,16.4776549488,28.0542882295
0.1,6.0,True,60,20,169,178,165,173,33,46,2.66419959712,4.25859773487,2.0136041697,1.85850947199,19.7066402839,29.1077066378
0.1,6.0,True,60,20,134,119,125,133,39,32,5.36118954485,3.47723448187,4.00059660965,7.16369969249,23.8266530405,17.1256910678
0.1,6.0,True,60,20,204,190,174,182,47,37,5.16450986887,4.32950890321,6.65056563198,4.61762772147,24.9944176566,22.3667547
0.1,6.0,True,60,20,154,161,163,153,44,29,4.8869025961,4.3069905484,5.5741702202,5.63727261675,21.6905259072,16.8174957148
0.1,6.0,True,60,20,124,122,143,149,36,35,2.20202188005,1.85205311382,2.54347608395,2.28766607159,20.390011635,17.07587828
0.1,6.0,True,60,20,98,118,101,107,32,35,3.06289128391,4.40623901522,2.96651078884,5.92806384921,18.5688506879,23.1736456368
0.1,6.0,True,60,20,145,138,147,142,33,40,4.89453115074,4.41599599455,4.85777716921,4.77514843198,23.8214949663,19.7994802173
0.1,6.0,True,60,20,143,133,133,153,26,37,2.93990815666,2.31214500748,2.82233370675,2.80291831228,20.4035501555,25.4211373555
0.1,6.0,True,60,20,129,132,143,159,41,32,2.62677528945,3.51119585783,4.42820201114,4.81462519599,29.2932533533,17.1341816853
0.1,6.0,True,60,20,128,156,134,144,38,41,3.47714907502,3.4224683452,3.3662038769,3.70252988096,27.6775848584,19.8925299883
0.1,6.0,True,60,20,140,135,123,128,36,38,5.13771402797,4.31370948477,4.63129309071,4.511915322,18.8008170473,27.0950859121
0.1,6.0,True,60,20,185,167,170,184,39,38,5.67194584118,5.8500312958,5.14895030319,5.68963842461,24.0108814232,26.6010272331
0.1,6.0,True,60,20,132,137,144,127,31,46,1.75283076859,2.74516073083,3.56669332033,1.89500395571,21.3166265858,23.2069369432
0.1,6.0,True,60,20,133,139,114,123,29,44,4.71530713815,5.48349585015,4.34636878788,4.11039565243,20.3970580626,20.7195020834
0.1,6.0,True,60,20,108,119,103,129,32,31,4.99561165654,4.40810772223,3.53165968549,4.55277802634,20.0582779978,15.779941581
0.1,6.0,True,60,20,159,156,166,147,47,43,4.93427371734,4.03724952234,4.55189576458,4.86638838658,24.1708603445,21.8123513238
0.1,6.0,True,60,20,160,171,182,182,41,38,2.88000474226,2.8473396238,2.85514594949,2.49303573435,23.9972039333,21.1281185549
