Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,True,35,13,153,127,142,148,39,43,2.66579155857,2.11560371506,2.52457495939,2.95571738721,11.2918065521,10.8873083505
0.1,6.0,True,35,13,146,134,148,142,38,34,4.79405206784,4.2605146951,3.81127817147,4.58992284016,10.1868915704,8.61804164324
0.1,6.0,True,35,13,139,152,163,131,41,42,4.57163315911,1.8161571733,3.66181649716,3.65404352783,12.6763784883,12.2162760047
0.1,6.0,True,35,13,144,156,187,152,29,44,2.85112785613,3.77923333878,2.98686799327,2.75944949962,12.5985452469,7.78898617733
0.1,6.0,True,35,13,139,159,141,162,29,44,3.36068188909,2.59285446413,3.39350820882,3.57177824066,11.4830604711,11.0048908772
0.1,6.0,True,35,13,134,158,147,135,36,35,5.19307990567,5.37916616598,4.22281700903,2.99131689907,9.63799240942,8.34869676351
0.1,6.0,True,35,13,166,171,172,140,42,36,4.83182689256,4.03785461563,3.50091696702,4.33256675018,13.1018424435,10.2043146084
0.1,6.0,True,35,13,135,161,141,159,39,37,2.77448031688,3.64776756279,3.44767557484,4.35184287085,12.410112678,11.9318578506
0.1,6.0,True,35,13,108,113,129,117,32,36,3.56017137716,2.67292793618,2.08963552733,2.94502308255,6.81272051521,11.9233345358
0.1,6.0,True,35,13,113,105,125,111,26,45,4.75835792636,5.13687396508,3.29686120171,3.9380872357,6.49965344145,11.7564365561
0.1,6.0,True,35,13,111,124,137,124,43,32,5.24572985109,5.72156098236,3.23759177567,3.4753471177,9.8394170116,4.77851453954
0.1,6.0,True,35,13,138,135,168,155,44,28,2.09987181066,2.77486577818,3.70117765863,4.31049000367,10.0782295976,8.89107585498
0.1,6.0,True,35,13,146,130,120,130,28,39,3.73921176048,4.47114945296,2.67754130993,3.20324171594,7.09775750566,14.3502876344
0.1,6.0,True,35,13,139,106,151,138,33,35,4.62870441609,4.65802331157,4.79205555502,4.4227603744,10.6633603632,11.4222746284
0.1,6.0,True,35,13,139,163,173,149,35,39,3.87379699922,3.5246585939,4.13326605086,3.68337922251,10.5030056761,12.0690638522
0.1,6.0,True,35,13,99,137,115,136,38,27,3.35112539584,3.19908684229,2.81735999254,3.3610472432,13.3272681841,5.49752277067
0.1,6.0,True,35,13,138,166,161,155,48,43,3.93879592331,4.2820275498,4.18999886385,4.89347183978,12.6618968725,11.2367382177
0.1,6.0,True,35,13,138,119,136,155,44,29,4.31986655064,2.20069943932,2.97281988164,3.24174974558,11.4889958888,7.75217298476
0.1,6.0,True,35,13,151,175,180,153,48,37,3.92546105549,4.06249123928,5.11753423572,3.36935922604,11.5988000654,6.4783442132
0.1,6.0,True,35,13,93,93,114,103,34,27,2.38620360988,2.31450711757,3.63432098475,3.53779278022,8.14212891223,8.1315327726
0.1,6.0,True,35,13,144,139,157,122,43,41,4.43601126745,2.37206873364,2.89717488061,2.12460110394,12.2130903247,10.053759197
0.1,6.0,True,35,13,140,120,158,109,37,42,2.69778900503,2.99101988645,4.44096647759,2.92543966441,12.7527200151,12.4462096498
0.1,6.0,True,35,13,153,171,147,165,43,38,4.14710308669,3.13118436719,3.70326669455,3.28403230962,12.1962547735,14.0054028485
0.1,6.0,True,35,13,131,140,129,137,34,37,2.43024293186,2.64016470772,1.89726083717,2.44574621951,12.1522968674,12.41077087
0.1,6.0,True,35,13,160,146,150,162,46,41,2.79308074446,2.43755326619,3.00532261009,2.624364911,11.9096284351,10.5457302548
0.1,6.0,True,35,13,126,129,132,138,41,33,3.1403545917,2.82756566041,1.9802262264,2.44062820622,12.610010533,10.9124104692
0.1,6.0,True,35,13,122,131,146,136,39,37,3.45331049874,3.22454662641,3.17896178234,3.07056318849,13.7516662234,10.36804844
0.1,6.0,True,35,13,141,149,146,139,37,34,2.98933045254,2.91858211487,4.08032910142,4.77401446926,12.092103386,10.9055613634
0.1,6.0,True,35,13,152,148,140,155,42,33,4.57621420236,4.04099658029,3.75645662768,4.50344190039,12.0332013491,10.790576538
0.1,6.0,True,35,13,141,129,165,168,45,42,5.12651693492,3.40036870411,5.23403502763,5.77836116081,11.7443794376,13.0804282026
0.1,6.0,True,35,13,154,164,143,161,29,39,5.62645750931,5.06946968122,5.22582953214,4.49140232774,7.41353528332,8.673131071
0.1,6.0,True,35,13,167,150,147,146,38,42,2.84430457035,2.48336696724,1.78975224097,1.4775404819,8.52395187642,15.2321318448
0.1,6.0,True,35,13,122,125,124,134,37,35,2.46454031541,1.53133025508,1.99935104745,2.84299246054,11.3040829516,10.6112143626
0.1,6.0,True,35,13,117,146,123,128,27,37,3.26818536125,3.16228725336,2.58826271215,3.47029937516,10.2851399805,11.0681848117
0.1,6.0,True,35,13,164,157,160,167,40,46,2.52471507143,2.63471163993,1.68112594187,3.92146039928,14.0130103328,14.3627014832
0.1,6.0,True,35,13,159,142,119,138,31,31,4.56934741152,3.39779240565,2.96921618015,3.26674980392,8.61506607821,10.7166079234
0.1,6.0,True,35,13,122,124,151,135,35,39,2.79478269675,3.80276098915,3.51640065305,3.55126066934,11.2566442564,12.2290011723
0.1,6.0,True,35,13,130,135,142,120,39,27,2.58755650493,2.11743649989,3.41412974673,3.26902497941,9.05518061607,7.16016470312
0.1,6.0,True,35,13,146,159,151,157,46,44,3.52535793287,3.90710955312,4.5598440663,3.42107697973,14.0559090047,11.6249692264
0.1,6.0,True,35,13,145,152,144,147,47,37,3.07423528723,4.02764570488,3.04337600753,5.34243434584,11.183502847,8.12717459389
0.1,6.0,True,35,13,143,142,146,128,40,39,1.68071739346,2.05883017142,1.7644477,2.01337449845,10.2340792068,13.8172863486
0.1,6.0,True,35,13,131,137,144,141,44,38,2.4597771415,2.93989341705,3.3460650744,3.46169317753,11.3446597052,13.6283146932
0.1,6.0,True,35,13,152,159,151,158,34,36,4.39555645478,3.1632302186,2.67072947336,2.21491544782,8.80983436769,8.69427889651
0.1,6.0,True,35,13,140,146,163,154,39,41,4.49729228518,3.34284677146,2.90992665955,3.9838103192,11.3437815704,8.55323718447
0.1,6.0,True,35,13,119,147,149,141,42,40,5.77560838802,5.25782085035,5.6232866418,6.82246708074,10.3162824692,13.0895584429
0.1,6.0,True,35,13,154,156,156,156,43,32,2.91935429869,2.48628232954,2.0717915534,2.81774786899,10.3632631836,11.8260942639
0.1,6.0,True,35,13,151,124,140,163,37,40,2.05246705427,1.91302916097,2.09064735266,2.75021228414,11.2760201686,13.1074172393
0.1,6.0,True,35,13,127,133,132,124,31,43,6.5846130835,5.5370488487,5.13644011786,3.26069218178,6.92456432143,12.3071607071
0.1,6.0,True,35,13,175,167,176,169,39,37,3.49066734568,2.79398875005,2.85948350657,3.27162804454,10.2233286677,10.8646569806
0.1,6.0,True,35,13,143,130,150,167,41,48,2.26079891154,3.31577059526,2.39337039667,2.70441455543,13.4341927047,9.45383063674
0.1,6.0,True,35,13,168,145,148,150,41,30,6.13303146879,6.92731187409,2.77823640986,5.67823278742,11.2910965013,8.25123615235
