Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,True,60,30,168,169,142,167,31,34,7.07056005379,8.37327731706,7.82195567317,9.04712951096,19.1512150399,18.9984470295
0.1,6.0,True,60,30,144,106,116,132,44,27,7.8614527498,7.94183361626,8.85021480151,7.4048597519,26.4675713164,15.7570737114
0.1,6.0,True,60,30,149,133,136,142,34,41,9.0178830838,5.09310174109,8.2852269177,10.945936388,21.9202713494,19.2087574526
0.1,6.0,True,60,30,121,139,138,137,43,43,4.63114766986,6.74643579792,6.010215615,7.41581208685,21.1724705642,19.5171542241
0.1,6.0,True,60,30,137,150,145,137,45,40,11.282798422,8.1814081727,7.76734364102,10.266967651,23.6441940332,20.8092298135
0.1,6.0,True,60,30,213,169,192,201,49,38,10.1797472381,10.6475062554,10.7816673089,8.33191457412,25.1071108846,17.4565307307
0.1,6.0,True,60,30,116,136,131,125,34,39,4.9112379107,6.0812295042,3.78267901664,5.22095301655,20.1387879941,22.7239453468
0.1,6.0,True,60,30,130,144,116,120,40,32,4.52999419771,6.21312568158,5.3725565992,6.71884128644,17.6836306845,17.3227036492
0.1,6.0,True,60,30,155,167,167,164,30,41,6.47255363014,5.18168652367,5.92348774939,5.5211032536,21.5153348468,20.9726384463
0.1,6.0,True,60,30,142,132,144,152,44,30,4.72283443398,3.7004846391,5.41734763384,5.80694586197,26.0789687548,23.1746061625
0.1,6.0,True,60,30,140,140,134,134,31,42,5.59425149571,5.76149128845,3.82676128308,3.88794615779,19.0675088977,25.3322306542
0.1,6.0,True,60,30,152,136,134,155,47,48,4.91087856129,3.14618102928,1.78498970721,3.19806623453,21.352789427,34.0438704516
