Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,8.0,True,38,15,96,91,94,90,25,26,3.91199638711,6.04051274185,2.28200834545,4.29401453535,8.71347483422,12.5326976367
0.1,8.0,True,38,15,105,107,100,99,25,32,4.25383341428,4.83776650769,4.01139245143,5.17717746917,8.4764469613,11.9314264971
0.1,8.0,True,38,15,115,137,112,141,29,26,3.51608627974,4.41481426494,2.71485776642,4.51171199708,14.2688338114,16.8439594241
0.1,8.0,True,38,15,133,140,139,137,28,32,5.12464590435,4.53453902693,5.1275861491,3.95794719704,13.1139141347,5.71755114521
0.1,8.0,True,38,15,122,117,118,116,31,38,2.84502083672,3.95040310619,2.68244874492,2.22711887843,9.26159585584,11.398215699
0.1,8.0,True,38,15,90,75,84,77,28,24,2.54465673101,2.66875600447,3.35702833558,3.76978979661,9.64766333813,5.92381230069
0.1,8.0,True,38,15,110,105,129,113,36,32,4.07201493604,2.87463585009,2.40838920623,3.11262975871,10.1274168033,12.9929559999
0.1,8.0,True,38,15,98,103,106,111,24,32,3.97784962543,4.01380359936,3.36116307803,3.76379109472,7.22484375106,10.8840465387
0.1,8.0,True,38,15,141,115,139,114,28,27,4.15126922122,3.27048606961,3.99623596931,3.67296801573,11.6463049548,10.6217703634
0.1,8.0,True,38,15,105,133,115,118,30,34,1.19772435364,1.94367740529,1.61336307236,3.03698378312,11.5673798932,10.2667377623
0.1,8.0,True,38,15,129,115,123,112,20,28,4.7507948265,3.84550753176,3.90108904419,4.3064987996,5.94559191809,10.5989753328
0.1,8.0,True,38,15,93,118,108,97,33,27,2.60574005021,2.30061056672,2.71730204871,2.0110674276,12.1665058518,12.9091167125
0.1,8.0,True,38,15,97,126,133,133,31,22,2.97851475227,4.79905793422,4.49496911948,5.34881979436,13.035044595,8.18792372501
0.1,8.0,True,38,15,116,123,149,123,31,27,4.17305121992,3.11825903165,3.72358233169,3.93355724235,8.54410963087,10.3331317219
0.1,8.0,True,38,15,102,113,101,104,29,29,2.45206833221,2.98082464234,2.96309259494,2.45429976806,10.6983119438,12.4311470775
0.1,8.0,True,38,15,90,98,123,107,25,24,1.90773535552,2.49964070982,2.00434717052,2.99362573206,9.97121990423,9.82302943654
0.1,8.0,True,38,15,126,133,136,126,28,34,2.47591746876,1.96485377072,3.01467015246,2.60838257034,11.6132925807,13.8054876552
0.1,8.0,True,38,15,97,96,89,104,24,28,3.53955950618,3.48741716067,3.04638897376,2.13349633627,8.70301059481,10.3255495632
0.1,8.0,True,38,15,117,124,129,120,33,31,3.98463599033,3.57124816339,2.26821356866,2.46911125559,16.7125377123,12.263824126
0.1,8.0,True,38,15,88,79,81,87,27,24,4.50125508421,2.04841661218,2.97235927532,4.0948280671,10.7759231162,6.25681775226
0.1,8.0,True,38,15,140,149,174,165,39,37,6.1632137225,5.54866056977,7.28738159907,6.6264663284,10.9759125014,11.7429909084
0.1,8.0,True,38,15,134,133,125,108,29,28,2.49304501995,2.38384054474,1.89784722037,1.41391645937,10.6932688218,10.4837743208
0.1,8.0,True,38,15,117,126,144,139,28,25,6.571039726,6.2035136681,5.51890198863,6.02539181176,10.7924126904,8.91448335778
0.1,8.0,True,38,15,88,98,70,79,37,22,6.03809658622,5.17657238051,4.36562435728,3.29196010374,13.0048640133,11.0666337572
0.1,8.0,True,38,15,90,87,82,90,27,22,1.94052209486,1.65902661689,2.34031741711,1.89960527582,11.471994523,8.29815729646
0.1,8.0,True,38,15,91,100,89,79,23,25,3.09473041267,3.00419463519,2.2747098712,3.58501207432,11.0201292205,6.57871863605
0.1,8.0,True,38,15,92,110,96,108,30,30,2.26523363634,2.59622705856,3.2074679656,2.41255301487,9.74401146029,8.22982782732
0.1,8.0,True,38,15,121,119,126,107,31,23,3.33816537855,2.47692808683,3.20305485306,3.68599578442,9.43608114624,7.20715586988
0.1,8.0,True,38,15,140,142,156,140,28,43,3.16639541868,1.42019151704,2.9937244001,2.26465139651,14.6876062325,15.9033159662
0.1,8.0,True,38,15,133,151,127,119,37,31,4.61896683181,4.86950173408,4.21915575356,4.77541569395,10.4417504167,10.3287883727
0.1,8.0,True,38,15,137,121,136,104,32,24,4.17383008658,2.47518544265,2.97622838703,1.51442440904,14.6030850101,10.5797711946
0.1,8.0,True,38,15,97,103,95,90,18,27,3.91709852723,2.95791212479,3.14872366743,3.29124931037,9.86678382543,5.86224706691
0.1,8.0,True,38,15,76,89,90,91,28,30,3.22244748344,2.76552595998,3.1139489059,2.69931312634,9.30518607748,10.8970898205
0.1,8.0,True,38,15,148,140,128,130,33,31,4.98001570826,5.00581557317,4.3394106183,4.11309426201,12.1744130972,13.0613152245
0.1,8.0,True,38,15,89,81,82,74,21,23,4.15911466568,0.639094653561,1.47821948233,1.40581602388,14.9059120736,7.25523178225
0.1,8.0,True,38,15,75,75,69,65,21,22,5.79351763597,3.26098206304,2.32058493989,4.05030838414,6.90111722253,6.32359910947
