Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,False,45,30,134,144,126,137,22,43,1.35642509165,1.04419690948,1.02633601106,1.33698917024,0.324974918009,5.11879238385
0.1,6.0,False,45,30,150,153,124,185,28,34,1.61525922538,1.325522061,1.16790018728,1.93189253885,5.74130490951,7.39866560777
0.1,6.0,False,45,30,157,141,172,163,39,49,1.32358765403,1.04079505774,1.03774377464,1.36433770253,4.20593423619,9.03706268276
0.1,6.0,False,45,30,160,165,146,145,32,35,1.61656405934,1.31451762013,1.07604947186,1.10449174161,7.96049384775,6.89932858792
0.1,6.0,False,45,30,80,84,70,84,34,23,1.31867365266,0.780486500733,0.850284154957,1.1462444715,13.6320159645,2.55047877015
0.1,6.0,False,45,30,142,149,151,136,43,46,1.34092967137,1.086234576,0.953406414902,1.37005166645,8.30749794817,4.76616780856
0.1,6.0,False,45,30,145,143,177,162,36,43,1.20675793644,1.07642074896,1.27117821199,1.13245116389,5.39077801661,4.50274668869
0.1,6.0,False,45,30,123,151,122,139,37,29,1.11575020961,1.17407722398,1.07490804804,1.37728828447,6.84103149165,3.7685121408
0.1,6.0,False,45,30,155,153,158,151,45,33,1.45357531537,1.13114404581,1.14755136207,1.23336131268,7.93268343204,8.71920908994
0.1,6.0,False,45,30,132,161,136,150,33,37,1.09978829488,1.28331265803,1.01486441278,1.06400297814,8.58195061044,5.21390480096
0.1,6.0,False,45,30,119,112,119,106,41,34,0.938017490712,0.895838660548,0.937383943354,1.45997613462,6.62466727227,10.3081325675
0.1,6.0,False,45,30,143,148,154,134,33,38,1.33927174776,1.14710599301,1.20498376223,1.0726746162,2.11020156636,4.98275184088
0.1,6.0,False,45,30,134,151,127,123,35,34,1.18873310911,1.12868035387,1.18415659324,1.10681885279,4.27776612786,8.2501036801
0.1,6.0,False,45,30,135,137,156,128,28,40,1.19127942536,1.08597040259,1.16165719401,1.26453975694,3.65982770199,4.7861076498
0.1,6.0,False,45,30,145,145,139,138,32,39,1.11251896956,1.16468109615,1.08365419796,1.24007370435,7.07893886372,6.21030522779
0.1,6.0,False,45,30,116,135,125,138,53,40,0.834964086869,0.755669600259,0.890877212983,1.56338894024,2.78082253158,3.31525638273
0.1,6.0,False,45,30,137,141,120,158,32,31,1.43540137641,1.19022166975,0.952331690923,1.67577486238,3.01057959994,8.75968482288
0.1,6.0,False,45,30,161,153,161,180,30,35,1.24213435253,1.05223653412,1.12032926542,1.32453103237,6.67161607797,4.46267341865
0.1,6.0,False,45,30,166,174,168,164,46,40,1.21975210612,1.16614043358,1.08814193247,0.870897190925,5.63991150543,7.42417285397
0.1,6.0,False,45,30,151,146,132,151,48,41,1.16979748157,1.05566788616,0.936676835761,1.04797136302,7.33232708345,5.85895984056
0.1,6.0,False,45,30,147,155,148,152,51,43,1.16948747624,0.981271892287,0.905811989259,1.1919246047,6.5591864037,4.72784702968
0.1,6.0,False,45,30,137,150,132,140,41,39,1.0536193386,1.27649055961,1.04475356299,1.33556979386,5.43619672201,5.04855003129
0.1,6.0,False,45,30,171,143,146,143,34,33,1.60273374201,1.19470071186,1.10645933076,1.33043916979,6.038722306,2.21621141027
0.1,6.0,False,45,30,148,191,153,182,37,37,1.15757060433,1.25643260076,1.05630765773,1.41396924809,3.44445246394,8.09251942009
0.1,6.0,False,45,30,94,86,112,109,33,25,1.55981118324,0.95982790023,1.13324627748,1.3795625469,5.88209103751,5.65276133249
0.1,6.0,False,45,30,147,128,172,138,46,30,1.18009465861,0.888131420456,1.13486342808,1.03147265976,3.25982804701,2.21712428249
0.1,6.0,False,45,30,123,124,115,115,30,35,1.08356993142,1.12300291036,0.93086573881,0.948355465013,2.06166207347,5.84682949845
