Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,6.0,True,30,30,151,128,117,130,41,41,13.9015829075,12.8806650465,13.8295747129,10.2924724218,5.89933352928,8.50635369204
0.1,6.0,True,30,30,120,102,126,115,31,40,9.1303769293,7.3268272371,7.75704094209,8.98017880734,3.03212366672,6.67735911471
0.1,6.0,True,30,30,126,147,134,153,41,37,10.6559789738,10.0392451704,8.64610657613,13.1964966981,5.81041373219,8.79964857361
0.1,6.0,True,30,30,182,190,222,192,39,43,12.2420058728,10.9123676409,11.9039492501,12.5591190681,7.82610496387,6.6423546291
0.1,6.0,True,30,30,115,145,125,136,36,34,12.6397865135,14.5746359812,13.4913500285,14.1188550425,5.42404739377,14.1056585038
0.1,6.0,True,30,30,155,152,142,143,41,30,10.6946619135,8.29868119993,11.5939366706,12.0264557746,6.43537766565,5.62182915061
0.1,6.0,True,30,30,131,150,113,139,28,34,7.97675224352,8.07935020112,10.1571062332,9.44601327308,3.25529015678,7.44738094192
0.1,6.0,True,30,30,138,153,160,122,35,35,9.11777050928,8.98216173242,12.3916584923,11.3180640412,8.29901134074,9.72814056327
0.1,6.0,True,30,30,143,158,152,160,28,49,11.402991586,11.6608171164,10.1183043224,10.5968518877,6.04634087229,7.17675347419
0.1,6.0,True,30,30,149,142,149,137,35,31,15.5235729205,15.3600096696,14.2595210639,12.9716495319,8.09794487317,4.40910740589
0.1,6.0,True,30,30,112,148,137,131,36,32,9.67849212349,15.9146317799,13.1306374937,9.41925128632,8.84371647672,4.41837500045
0.1,6.0,True,30,30,151,160,153,170,40,47,8.9573823926,7.97348037991,8.36642847237,9.24061420644,8.31212585985,10.4557164475
0.1,6.0,True,30,30,97,104,99,98,31,33,7.30274805202,6.98271953755,7.25126296073,9.58573810402,5.8005937875,6.17035109006
0.1,6.0,True,30,30,115,113,128,144,34,33,6.4458092697,6.95414348275,7.80633898557,8.02610358931,7.33483375938,8.22730986071
0.1,6.0,True,30,30,132,112,111,103,47,33,13.0964619022,9.9557459448,11.645832101,10.3890505317,7.12191381841,3.62800563376
0.1,6.0,True,30,30,186,187,185,162,44,34,7.02772252781,5.85939872108,6.17249971376,5.10206872042,8.47802976722,5.1123168924
0.1,6.0,True,30,30,124,133,111,117,30,35,6.8492491259,6.8853635612,6.02964070903,7.2853304909,5.43565496444,5.25245645235
0.1,6.0,True,30,30,136,136,139,146,35,33,14.2215042287,13.5170228214,18.6335979065,13.7899283,8.36759228762,11.6336320845
0.1,6.0,True,30,30,128,147,153,129,41,41,6.61619267111,8.01132898696,11.0012938225,8.17781880332,6.99827822717,9.77929042717
0.1,6.0,True,30,30,128,152,148,99,43,42,7.11512733747,9.52885415099,9.58621984603,7.14837540411,10.5114612983,5.30879578103
0.1,6.0,True,30,30,204,207,167,217,40,42,10.9107676189,10.9510689819,10.0986451712,10.2389711564,6.08496914624,7.65472332865
0.1,6.0,True,30,30,124,126,134,128,38,28,10.1657531479,9.10040878602,8.74483073434,10.8100013883,4.79072918334,5.77736235768
0.1,6.0,True,30,30,174,180,164,156,35,45,13.9745405926,13.6251548481,14.3134706693,10.5803735598,4.99925333899,7.90976256205
